	Biamonti	Hess	Op.	Grove	WoO	Title 1	Title 2	Composition Dates 1	Composition Dates 2	Notes 1	Key	Scoring	Genre	Notes 2	Same As	ROW 2
734	510/@@@	081		175/@@@		Cadenza for Piano			1807	"for Piano Concerto #4, Opus 58 (first movement )"					"Hess 81, Grove 175"	
735	510/@@@	082		175/@@@		Cadenza for Piano			1807	"cadenza ""sensa misura"" for the Rondo of Piano Concerto #4, Opus 58"					"Hess 82, Grove 175"	
736	510/@@@	083		175/@@@		Cadenza for Piano			1807	"very brief cadenza to the Rondo of Piano Concerto #4, Opus 58"					"Hess 83, Grove 175"	
737	511			175/@@@		2 Cadenzas for Piano			1809	"for Piano Concerto version of Violin Concerto Opus 61 (1st movement, and transition from 2nd to 3rd)"					Grove 175	
738	512/@@@	084		175/@@@		Rondo for Piano				"solo passage for the Rondo of the piano version of the Violin Concerto, Opus 61, begins at measure 92"					"Hess 84, Grove 175"	
739	512/@@@	085		175/@@@		Cadenza for Piano				"new cadenza for the Rondo of the piano version of the Violin Concerto, Opus 61, begins at measure 279"					"Hess 85, Grove 175"	
740	513/	—	082/	082/	—		Arietten und ein Duett (4):	1809-10				v/2vv pf	Vocal		"Op. 82 (all), Grove 82 (all)"	151
741	513/1	—	082/1	082/1	—	"Arietta: ""Hoffnung""; ""Dimmi, ben mio, che m’ami"""	"Hoffnung (""Dimmi, ben mio, che m'ami"")"	1809-10	1809 - 1810	words: Anonymous		v pf	Vocal		"Op. 82 #1, Grove 82"	152
742	513/2	—	082/2	082/2	—	"Arietta: ""Liebes-Klage""; ""T’intendo, si, mio cor"""	"Liebes-Klage (""T'intendo, si, mio cor"")"	1809-10	1809 - 1810	words: Pietro Metastasio		v pf	Vocal		"Op. 82 #2, Grove 82"	153
743	513/3	—	082/3	082/3	—	"Arietta: ""L’amante impatiente (Stille Frage)"", Arietta buffa; ""Che fa il mio bene?"""	"Che fa il mio bene? (""L'amante impatiente"")"	1809-10	1809 - 1810	words: Pietro Metastasio		v pf	Vocal		"Op. 82 #3, Grove 82"	154
744	513/4	—	082/4	082/4	—	"Arietta: ""L’amante impatiente (Liebesungeduld)"", Arietta assai seriosa; ""Che fa il mio bene?"""	"Che fa il mio bene? (""L'amante impatiente"")"	1809-10	1809 - 1810	words: Pietro Metastasio		v pf	Vocal		"Op. 82 #4, Grove 82"	155
745	513/5	—	082/5	082/5	—	"Duet: ""Lebensgenuß""; ""Odi l’aura che dolce sospira"""	"Lebensgenuß (""Odi l'aura che dolce sospira"")"	1809-10	1809 - 1810	words: Pietro Metastasio		2vvv pf	Vocal		"Op. 82 #5, Grove 82"	156
746	514	—	081a	081a	—	"Piano Sonata No. 26 in E flat major: ""Les Adieux""; ""Das Lebewohl, Abwesenheit und Wiedersehen"", Opus 81a"	Piano Sonata No.26 ('Les adieux')	1809-10	1809 - 1810	dedicated to Archduke Rudolph of Austria	E♭ major	pf	Keyboard		"Op. 81 #1, Grove 81"	149
747	515	—	—	173	059	"Bagatelle for Piano in A minor: ""Für Elise"""	Für Elise (Bagatelle)	1808-10	1808 - 1810	"dedicated to Therese Malfatti; autograph missing, but ""Elise"" probably denotes Therese Malfatti"	A minor	pf	Keyboard		"WoO 59, Grove 173"	354
748	516					"Sketch for Solo Voice(s) & Instrument(s): for Schiller’s ""Das Madchen aus dem Fremde"" for voice, piano & clarinet; authorship: unfinished"			1810							
749	517	008	—	145	019/@@@	"March for Wind Band in F major: ""Zapfenstreich No. 3"""	March	1810	1810	"dedicated to Archduke Anton; written for a ‘carrousel’; contains Turkish elements in the orchestration; Hess 9 is version with Trio; Biamonti 519 #2 (the GA version) has no Trio, no Turkish elements; Beethoven added the trio in F minor c. 1822; WoO 19 includes both Hess 8 & 9 & Biamonti 519 #2"	F major	ww br perc	Orchestral	"2nd version, without trio, but with 'Turkish' orchestration"	"WoO 19, Hess 8, Grove 145"	299
750	518/@@@		084/@@@	084/@@@		"Overture in F minor: ""Egmont"", Incidental Music to Goethe’s Tragedy"			1809 - 1810						"Op. 84, Grove 84"	@@@
751	518/@@@	—	084/@@@	084/@@@	—	"Incidental Music for Solo Voice(s) & Orchestra: ""Egmont"", Incidental Music to Goethe’s Tragedy"	Egmont	1809-10	1809 - 1810			vv orch	Stage		"Op. 84, Grove 84"	161
752	519/1	—	—	145	018/@@@	"March for Wind Band in F major: ""Marsch für die bohmische Landwehr"""	March ('Marsch für die bohmische Landwehr') ('Yorckscher Marsch')	1809-10	1809 - 1810	"dedicated to Archduke Anton; (the GA version) is without the Trio or the Turkish orchestration elements; WoO 18 also includes Hess 6, 7 & 99, and Hess Anhang 2"	F major	ww br perc	Orchestral	"1st version, without trio or 'Turkish' orchestration; also arr. for pf"	"WoO 18, Grove 145"	294
753	519/2	—	—	145	019/@@@	March for Wind Band in F major	March	1809-10	1809 - 1810	"dedicated to Archduke Anton; (the GA version) has no Trio, no Turkish elements, Hess 8 is version with Turkish elements; Hess 9 is version with Turkish elements and the Trio that Beethoven added c. 1822; WoO 19 includes both Hess 8 & 9 & Biamonti 519 #2"	F major	ww br perc	Orchestral	"1st version, without trio or 'Turkish' orchestration; also arr. for pf"	"WoO 19, Grove 145"	298
754	520	—	—		021	Polonaise for Wind Band in D major	Polonaise	1810	1810		D major	ww br perc	Orchestral		WoO 21	303
755	521	—	—		022	Ecossaise for Wind Band in D major	Ecossaise	1809-10	1809 - 1810		D major	ww br perc	Orchestral		WoO 22	304
756	522					Sketch for Unknown in C minor: for a fugue; authorship: unfinished			1810							
757	523					"Sketch for Solo Voice(s): for the melody for Schiller’s ""In einem Thal bei Armen Hirten""; authorship: unfinished"			1810							
758	524	—	095	095	—	"String Quartet No. 11 in F minor: ""Quartetto serioso"""	"String Quartet No.11 (""Serioso"")"	1810-11	1810 - 1811	dedicated to Nikolaus Zmeskall	F minor	2vn va vc	Chamber		"Op. 95, Grove 95"	172
759	525	—	—		020/@@@	"March & Trio for Wind Band in C major: ""Zapfenstreich"" (The Tattoo)"	March ('Zapfenstreich') ('The Tattoo')	1809	1809 - 1822	Beethoven added a trio in F major c. 1822	C major	ww br perc	Orchestral	"1st version, without trio"	WoO 20	301
760	525	—	—		020/@@@	@@@	March ('Zapfenstreich') ('The Tattoo')	1822 ca.			C major	ww br perc	Orchestral	"2nd version, with trio"	WoO 20	302
761	526	148	—		131	"Sketch for Solo Voice(s) & Instrument(s) in D minor: ""Erlkönig"" ""Wer reitet so spat durch Nacht und Wind?""; authorship: unfinished"	"Erlkönig(""Wer reitet so spat durch Nacht und Wind?"")"	1794-96	1794 - 1796	words: Goethe	D minor	v pf (?)	Vocal	unfinished sketch for song	"WoO 131, Hess 148"	455
762	527	149				"Sketch for Solo Voice(s) & Instrument(s): sketches for a Song ""Rastlose Liebe""; authorship: unfinished"			1796 - 1810	words: Goethe					Hess 149	
763	528	—	—	218	161	"3-part Canon in C major: ""Ewig dein!"" (Forever thine!)"	"Ewig dein', canon'"	1811	1811		C major	3vv	Vocal		"WoO 161, Grove 218"	493
764	529/1	093				"Song in A major: ""Freudvoll und Leidvoll"""			1810	"simplified setting of song from ""Egmont"" Opus 84, for voice and piano, also see Hess 94 & Hess 95"					Hess 93	
765	529/2	094				"Song in G major: ""Freudvoll und Leidvoll"""			1810	"song from ""Egmont"" Opus 84, for piano; also see Hess 93 & Hess 95"					Hess 94	
766	529/3	095				"Song in F major: ""Freudvoll und Leidvoll"""			1810	"song from ""Egmont"" Opus 84, for piano; also see Hess 93 & Hess 94"					Hess 95	
767	530	142				"Song: ""Wonne der Wehmut"""			1810	earlier version of Opus 83 #1					Hess 142	
768	531/	—	083/		—		Gesänge (3)	1810				v pf	Vocal			157
769	531/1	—	083/1	083/1	—	"Song: ""Wonne der Wehmut"" (The joy of melancholy); ""Trocknet nicht, Tränen der ewigen Liebe!"""	"Wonne der Wehmut (""Trocknet nicht, Tränen der ewigen Liebe!"")"	1810	1810	dedicated to Princess Caroline Kinsky; words: Goethe		v pf	Vocal		"Op. 83 #1, Grove 83"	158
770	531/2	—	083/2	083/2	—	"Song: ""Sensucht"" (Yearning); ""Was zieht mir das Herz so?"""	"Sensucht (""Was zieht mir das Herz so?"")"	1810	1810	dedicated to Princess Caroline Kinsky; words: Goethe		v pf	Vocal		"Op. 83 #2, Grove 83"	159
771	531/3	—	083/3	083/3	—	"Song: ""Mit einem gemalten Band"" (With a painted ribbon); ""Kleine Blumen, kleine Blätter streuen wir mit leichter Hand"""	"Mit einem gemalten Band (""Kleine Blumen, kleine Blätter streuen wir mit leichter Hand"")"	1810	1810	dedicated to Princess Caroline Kinsky		v pf	Vocal		"Op. 83 #3, Grove 83"	160
772	532	004@@@	—		023	Ecossaise for Wind Band in G major; authorship: reconstruction	Ecossaise	1810	1810	lost; known only in Czerny’s piano arrangement	G major	ww br perc	Orchestral	lost; only know in arr. for pf by Carl Czerny	"WoO 23, Hess 4"	305
773	533/	—	—	226/	155/		Welsh Songs (26)	1810-15				vv vn vc pf	Vocal		"WoO 155 (all), Grove 226 (all)"	483
774	533/1			226/01	155/01	"Folksong Setting: ""Chase of the Wolf"" or ""Sion, the Son of Evan"", ""Hear the shouts of Evan’s son""; #1 of 26 Welsh songs"			1810	words: Anne Grant					"WoO 155 #1, Grove 226"	
775	533/2			226/02	155/02	"Folksong Setting: ""The Monks of Bangor’s March"", ""When the heathen trumpet’s clang""; #2 of 26 Welsh songs"			1810	words: Sir Walter Scott					"WoO 155 #2, Grove 226"	
776	533/3			226/03	155/03	"Folksong Setting: ""The Cottage Maid"", ""I envy not the splendour fine""; #3 of 26 Welsh songs"			1810	words: William Smyth; variations on this air: Op 105 #1					"WoO 155 #3, Grove 226"	
777	533/4			226/04	155/04	"Folksong Setting: ""Love without Hope"", ""Her features speak the warmest heart""; #4 of 26 Welsh songs"			1810	words: John Richardson					"WoO 155 #4, Grove 226"	
778	533/5			226/05	155/05	"Folksong Setting: ""The Golden Robe"", ""A golden robe my Love shall wear""; #5 of 26 Welsh songs"			1810	words: Anne Hunter					"WoO 155 #5, Grove 226"	
779	533/6			226/06	155/06	"Folksong Setting: ""The Fair Maid of Mona"", ""How, my love, could hapless doubts o’ertake thee""; #6 of 26 Welsh songs"			1810	words: William Smyth					"WoO 155 #6, Grove 226"	
780	533/7			226/07	155/07	"Folksong Setting: ""O let the night my blushes hide""; #7 of 26 Welsh songs"			1810	words: William Smyth					"WoO 155 #7, Grove 226"	
781	533/8			226/08	155/08	"Folksong Setting: ""Farewell, thou noisy town""; #8 of 26 Welsh songs"			1810	words: William Smyth					"WoO 155 #8, Grove 226"	
782	533/9			226/09	155/09	"Folksong Setting: ""To the Aeolian Harp"", ""Harp of the winds""; #9 of 26 Welsh songs"			1810	words: Anne Hunter					"WoO 155 #9, Grove 226"	
783	533/10			226/10	155/10	"Folksong Setting: ""Ned Pugh’s Farewell"", ""To leave my dear girl, my country, and friends""; #10 of 26 Welsh songs"			1810	words: Anne Hunter					"WoO 155 #10, Grove 226"	
784	533/11			226/11	155/11	"Folksong Setting: ""Merch Megan, or Peggy’s Daughter""1 ""In the white cot where Peggy dwells""; #11 of 26 Welsh songs"			1810	words: Anne Hunter; variations on this air: Op 107 #6					"WoO 155 #11, Grove 226"	
785	533/12			226/12	155/12	"Folksong Setting: ""Waken, lords and ladies gay""; #12 of 26 Welsh songs"			1810	words: Sir Walter Scott					"WoO 155 #12, Grove 226"	
786	533/13			226/13	155/13	"Folksong Setting: ""Helpless Woman"", ""How cruel are the parents""; #13 of 26 Welsh songs"			1810	words: Robert Burns					"WoO 155 #13, Grove 226"	
787	533/14			226/14	155/14	"Folksong Setting: ""The Dream"", ""Last night worn with anguish""; #14 of 26 Welsh songs"			1810	words: David ap Gwillim					"WoO 155 #14, Grove 226"	
788	533/15														@@@	
789	533/16			226/16	155/16	"Folksong Setting: ""The Damsels of Cardigan"", ""Fair Tivy""; #16 of 26 Welsh songs"			1810	words: W Jones					"WoO 155 #16, Grove 226"	
790	533/17			226/17	155/17	"Folksong Setting: ""The Dairy House"", ""A spreading hawthorn shades the seat""; #17 of 26 Welsh songs"			1810	words: Anne Hunter					"WoO 155 #17, Grove 226"	
791	533/18			226/18	155/18	"Folksong Setting: ""Sweet Richard"", ""Yes, thou art chang’d since first we met""; #18 of 26 Welsh songs"			1810	words: Opie					"WoO 155 #18, Grove 226"	
792	533/19			226/19	155/19	"Folksong Setting: ""The Vale of Clwyd"", ""Think not I’ll leave""; #19 of 26 Welsh songs"			1810	words: Opie					"WoO 155 #19, Grove 226"	
793	533/20			226/20	155/20	"Folksong Setting: ""To the Blackbird"", ""Sweet warbler of a strain divine""; #20 of 26 Welsh songs"			1813	words: David ap Gwillim; replacement setting of Hess 206					"WoO 155 #20, Grove 226"	
794	533/21			226/21	155/21	"Folksong Setting: ""Cupid’s Kindness"", ""Dear brother""; #21 of 26 Welsh songs"			1810	words: William Smyth; Hess 190 is completed draft of piano version					"WoO 155 #21, Grove 226"	
795	533/22			226/22	155/22	"Folksong Setting: ""Constancy"", ""Tho’ cruel fate should bid us part""; #22 of 26 Welsh songs"			1810	words: Robert Burns					"WoO 155 #22, Grove 226"	
796	533/23			226/23	155/23	"Folksong Setting: ""The Old Strain"", ""My pleasant home beside the Dee!""; #23 of 26 Welsh songs"			1810	words: William Smyth					"WoO 155 #23, Grove 226"	
797	533/24			226/24	155/24	"Folksong Setting: ""Three Hundred Pounds"", ""In yonder snug cottage""; #24 of 26 Welsh songs"			1810	words: Richard Litwyd					"WoO 155 #24, Grove 226"	
798	533/25														@@@	
799	533/26			226/26	155/26	"Folksong Setting: ""Good Night"", ""Ere yet we slumber seek""; #26 of 26 Welsh songs"			1810	words: W R Spencer					"WoO 155 #26, Grove 226"	
800	534/1	204				"Folksong Setting: ""O let the night my blushes hide"" (Welsh)"			1809	original version of WoO 155 #7					Hess 204	
801	534/2	205/@@@				"Folksong Setting: ""The Dream"" (Welsh)"			1810	"another version of WoO 155 #14; Biamonti 286 is the coda, instrumental parts only"					Hess 205	
802	534/3	206				"Folksong Setting: ""To the Blackbird"" (Welsh) ""Sweet warbler of a strain divine"""			1810	words: David ap Gwillim; original setting of WoO 155 #20					Hess 206	
803	535					Sketch for Unknown; authorship: unfinished			1810	sketch for a Bagatelle						
804	536	—	097	097	—	"Piano Trio in B flat major: ""Erzherzogs-Trio"" (Archduke)"	"Piano Trio(""Archduke"")"	1810-15	1810 - 1815	dedicated to Archduke Rudolph of Austria	B♭ major	vn va vc	Chamber		"Op. 97, Grove 97"	174
805	537					Sketch; authorship: unfinished			1811							
806	538/@@@		117/@@@	117/@@@		"Overture in E flat major: ""König Stephan"" (King Stephen)"			1811						"Op. 117, Grove 117"	@@@
807	538/@@@	—	117/@@@	117/@@@	—	"Music for a drama for Orchestra, Chorus & Solo Voice(s): music to Kotzebue’s festival play ""König Stephan oder Ungarns erster Wohhtäter"" (King Stephen or Hungary’s First Benefactor)"	"König Stephan (King Stephen), music to Kotzebue's play"	1811	1811		E♭ major	vv ch orch	Stage		"Op. 117, Grove 117"	243
808	539/@@@	118/@@@	113/@@@	113/@@@		"Overture: ""Die Ruinen von Athen"" (The Ruins of Athens)"			1811	"music to Kotzebue’s festival play; Hess 118 includes Opus 124, Opus 114, WoO 98, and parts of Opus 113"					"Op. 113, Hess 118, Grove 113"	@@@
809	539/@@@	118/@@@	113/@@@	113/@@@	—	"Music for a drama for Orchestra, Chorus & Solo Voice(s): for Kotzebue’s ""Die Ruinen von Athen"" (The Ruins of Athens)"	"Die Ruinen von Athen (The Ruins of Athens), music to Kotzebue's drama"	1811	1811			vv ch orch	Stage	1st version of Op. 114	"Op. 113, Grove 113"	239
810	540/1	—	—	247/1	140/1	"Song: ""An die Geliebte""; ""O daß ich dir vom stillen Auge"" (1st setting)"	"An die Geliebte (""O daß ich dir vom stillen Auge"")"	1811	1811	words: Johann Ludwig Stoll	D major	v pf	Vocal	1st setting	"WoO 140 #1, Grove 247"	467
811	540/2	—	—	247/2	140/2	"Song: ""An die Geliebte""; ""O daß ich dir vom stillen Auge"" (2nd setting)"	"An die Geliebte (""O daß ich dir vom stillen Auge"")"	1814	1814	words: Johann Ludwig Stoll	D major	v pf	Vocal	2nd setting	"WoO 140 #2, Grove 247"	468
812	541			226/15	155/15	"Folksong Setting: ""When mortals all to rest retire"" (English); #15 of 26 Welsh songs"			1813	words: William Smyth					"WoO 155 #15, Grove 226"	
813	542	—	—	154	039	Allegretto for Piano Trio in B flat major	Allegretto	1812	1812	"dedicated to Maximiliane Brentano; ""for my little friend Maxe. Brentano to encourage her in piano playing"" - LvB"	B♭ major	vn vc pf	Chamber		"WoO 39, Grove 154"	327
814	543					Sketch; authorship: unfinished			1811 - 1812	sketch for the finale of the Seventh Symphony Opus 92						
815	544	—	092	092	—	Symphony No. 7 in A major	Symphony No.7	1811-12	1811 - 1812	"dedicated to Count Moritz von Fries; arrangements for piano (2 & 4 hands) and two pianos dedicated to Elisabeth Alexiewna, Empress of Russia"	A major	orch	Orchestral		"Op. 92, Grove 92"	169
816	545					Sketch for Piano & Orchestra in G major: for a Polonaise; authorship: unfinished			1812							
817	546					Sketch; authorship: unfinished			1812	sketch for an introduction to the Eighth Symphony Opus 93						
818	547					Symphony No. 8 in F major			1812	entire symphony with the original ending of Hess 1						
819	548/	—	—		030/		Equali (3)	1812				4tbn	Chamber	also arr. for mch	WoO 30 (all)	314
820	548/1				030/1	Equali for Trombones in D minor			1812	written for Franz Xaver Glöggl; there is also a version for 4 men’s voices; these were played at Beethoven’s funeral					WoO 30 #1	
821	548/2				030/2	Equali for Trombones in D major			1812	written for Franz Xaver Glöggl; there is also a version for 4 men’s voices; these were played at Beethoven’s funeral					WoO 30 #2	
822	548/3				030/3	Equali for Trombones in B flat major			1812	written for Franz Xaver Glöggl; there is also a version for 4 men’s voices; these were played at Beethoven’s funeral					WoO 30 #3	
823	549					Fragment for Piano & Violin; authorship: unfinished			1812	fragment of the finale to the Violin Sonata Opus 96						
824	550	—	096	096	—	Sonata No. 10 for Piano & Violin in G major	"Violin Sonata No.10 (""Cock-crow"")"	1812	1812	dedicated to Archduke Rudolph of Austria	G major	vn pf	Chamber		"Op. 96, Grove 96"	173
825	551	067				2 German Dances for Piano: in F major and F minor			1811						Hess 67	
826	552					Sketch for Unknown: 2 unused sketches; authorship: unfinished			1813							
827	553	117/1	—	143	002a	"Triumphal March for Orchestra in C major: ""Tarpeja"""	Triumphal March	1813	1813	Christoph Kuffner’s drama	C major	orch	Stage		"WoO 2 #1, Hess 117, Grove 143"	271
828	554	117/2	—		002b	"Entr’acte in D major: ""Tarpeja"""	Prelude to Act II	1805?	1813	"now thought to be from the opening of Act II from ""Leonore"" 1805"	D major	orch	Stage	"now thought to be from the opening of Act II of ''Leonore'', Op. 72 (2nd version)"	"WoO 2 #2, Hess 117"	272
829	555	—	—		141	"Song in C major: ""Der Gesang der Nachtigall""; ""Höre, die Nachtigall singt"""	"Der Gesang der Nachtigall (""Höre, die Nachtigall singt"""")"	1813	1813	words: Johann Gottfried Herder	C major	v pf	Vocal		WoO 141	469
830	556	305				"Sketch for Instrument(s) in D major: sketch for a Canon ""Geschlagen ist der Feind"" (the enemy has been beaten); authorship: unfinished"			1813	"found amidst the sketches for ""Wellington’s Victory"", opus 91"					Hess 305	
831	557	108				"Piece for Panharmonikon: ""Wellingtons Sieg, oder die Schlacht bei Vittoria"" (Wellington’s Victory, or the Battle of Vittoria)"			1813	"original version of Opus 91, second part (""Siegessymphonie"")"					Hess 108	
832	558	—	—	248	142	"Song in E minor: ""Der Bardengeist""; ""Dort auf dem hohen Felsen sang"""	"Der Bardengeist (""Dort auf dem hohen Felsen sang"")"	1813	1813	words: Franz Rudolph Hermann	E minor	v pf	Vocal		"WoO 142, Grove 248"	470
833	559	—	—	206	163	"3-part Canon in F minor: ""Kurz ist der Schmerz, und ewig ist die Freude"" (Suffering is transitory, but joy is eternal) (1st setting)"	"Kurz ist der Schmerz, und ewig ist die Freude', canon'"	1813	1813	written for Johann Friedrich Naue; words: Friedrich von Schiller; other setting is WoO 166	F minor	3vv	Vocal	1st setting of WoO 166	"WoO 163, Grove 206"	495
834	560	—	091	091	—	"Battle Symphony: ""Wellingtons Sieg, oder die Schlacht bei Vittoria"" (Wellington’s Victory, or the Battle of Vittoria)"	Wellingtons Sieg (Wellington's Victory or 'Battle Symphony')	1813	1813	"dedicated to Prince Regent (later King) George IV of England; originally written for panharmonikon, Hess 108; Hess 97 is arrangement for piano & 2 cannons"		orch	Orchestral		"Op. 91, Grove 91"	168
835	561/	—	—	223/	152/		Irish Songs(25)	1810-12				vv vn vc pf	Vocal		"WoO 152 (all), Grove 223"	480
836	561/1			223/01	152/01	"Folksong Setting: ""The Return to Ulster"", ""Once again, but how chang’d""; #1 of 25 Irish songs"			1810	words: Sir Walter Scott					"WoO 152 #1, Grove 223"	
837	561/2			223/02	152/02	"Folksong Setting: ""Sweet Power of Song!""; #2 of 25 Irish songs"			1810	words: Joanna Baillie					"WoO 152 #2, Grove 223"	
838	561/3			223/03	152/03	"Folksong Setting: ""Once more I hail thee""; #3 of 25 Irish songs"			1810	words: Robert Burns					"WoO 152 #3, Grove 223"	
839	561/4			223/04	152/04	"Folksong Setting: ""The morning air plays on my face""; #4 of 25 Irish songs"			1810	words: Joanna Baillie					"WoO 152 #4, Grove 223"	
840	561/5			223/05	152/05	"Folksong Setting: ""On the massacre of Glencoe"", ""O! tell me, harper""; #5 of 25 Irish songs"			1810	words: Sir Walter Scott; original setting of Hess 192					"WoO 152 #5, Grove 223"	
841	561/6			223/06	152/06	"Folksong Setting: ""What shall I do to shew how much I love her?""; #6 of 25 Irish songs"			1810	words: Anonymous					"WoO 152 #6, Grove 223"	
842	561/7			223/07	152/07	"Folksong Setting: ""His boat comes on the sunny tide""; #7 of 25 Irish songs"			1810	words: Joanna Baillie					"WoO 152 #7, Grove 223"	
843	561/8			223/08	152/08	"Folksong Setting: ""Come draw we round a cheerful ring""; #8 of 25 Irish songs"			1810	words: Joanna Baillie					"WoO 152 #8, Grove 223"	
844	561/9			223/09	152/09	"Folksong Setting: ""The Soldier’s Dream"", ""Our bugles sung truce""; #9 of 25 Irish songs"			1810	words: Thomas Campbell					"WoO 152 #9, Grove 223"	
845	561/10			223/10	152/10	"Folksong Setting: ""The Deserter"" (The evening previous to his execution), ""If sadly thinking and spirits sinking""; #10 of 25 Irish songs"			1812	words: J P Curran					"WoO 152 #10, Grove 223"	
846	561/11			223/11	152/11	"Folksong Setting: ""Thou emblem of faith"" (Upon returning a ring); #11 of 25 Irish songs"			1812	words: J P Curran					"WoO 152 #11, Grove 223"	
847	561/12			223/12	152/12	"Folksong Setting: ""English Bulls, or The Irishman in London"", ""Och! have you not heard, Pat""; #12 of 25 Irish songs"			1810	"words: Anonymous; variations on this air ""Paddy Whack"" Op 105 #6"					"WoO 152 #12, Grove 223"	
848	561/13			223/13	152/13	"Folksong Setting: ""Musing on the roaring ocean""; #13 of 25 Irish songs"			1812	words: Robert Burns					"WoO 152 #13, Grove 223"	
849	561/14			223/14	152/14	"Folksong Setting: ""Dermot and Shelah"", ""O who sits so sadly""; #14 of 25 Irish songs"			1810	words: T Toms					"WoO 152 #14, Grove 223"	
850	561/15			223/15	152/15	"Folksong Setting: ""Let brainspinning swains""; #15 of 25 Irish songs"			1810	words: Alexander Boswell					"WoO 152 #15, Grove 223"	
851	561/16			223/16	152/16	"Folksong Setting: ""Hide not thy anguish""; #16 of 25 Irish songs"			1810	words: William Smyth					"WoO 152 #16, Grove 223"	
852	561/17			223/17	152/17	"Folksong Setting: ""In vain to this desert my fate I deplore""; #17 of 25 Irish songs"			1810	words: Anne Grant & Robert Burns					"WoO 152 #17, Grove 223"	
853	561/18			223/18	152/18	"Folksong Setting: ""They bid me slight my Dermot dear""; #18 of 25 Irish songs"			1810	words: William Smyth					"WoO 152 #18, Grove 223"	
854	561/19			223/19	152/19	"Folksong Setting: ""Wife, Children and Friends"", ""When the blackletter’d list to the gods""; #19 of 25 Irish songs"			1812	words: W R Spencer					"WoO 152 #19, Grove 223"	
855	561/20			223/20	152/20	"Folksong Setting: ""Farewell bliss and farewell Nancy""; #20 of 25 Irish songs"			1810	words: Anne Grant & Robert Burns					"WoO 152 #20, Grove 223"	
856	561/21			223/21	152/21	"Folksong Setting: ""Morning a cruel turmoiler is""; #21 of 25 Irish songs"			1812	words: Alexander Boswell					"WoO 152 #21, Grove 223"	
857	561/22			223/22	152/22	"Folksong Setting: ""From Garyone, my happy home"", air: ""Garyone""; #22 of 25 Irish songs"			1812	words: T Toms; original setting of WoO 154 #7					"WoO 152 #22, Grove 223"	
858	561/23			223/23	152/23	"Folksong Setting: ""A wand’ring gypsey, Sirs, am I""; #23 of 25 Irish songs"			1810	words: Dr Wolcot					"WoO 152 #23, Grove 223"	
859	561/24			223/24	152/24	"Folksong Setting: ""The Traugh Welcome"", ""Shall a son of O’Donnell be cheerless and cold""; #24 of 25 Irish songs"			1812	words: Anonymous					"WoO 152 #24, Grove 223"	
860	561/25			223/25	152/25	"Folksong Setting: ""O harp of Erin"", ""O harp of Erin thou art now laid low""; air: ""I once had a true love""; #25 of 25 Irish songs"			1812	words: David Thomson; original setting for WoO 154 #2					"WoO 152 #25, Grove 223"	
861	562/@@@	192				"Folksong Setting: ""On the massacre of Glencoe"" (Irish) ""O! tell me, harper"""			1813	words: Sir Walter Scott; replacement setting for WoO 152 #5					Hess 192	
862	562/222	193				"Folksong Setting: ""Farewell bliss and farewell Nancy"" (Irish)"			1810	early version of codas to WoO 152 #20					Hess 193	
863	563/	—	—	224/	153/		Irish Songs (20)	1810-13				vv vn vc pf	Vocal		"WoO 153 (all), Grove 224 (all)"	481
864	563/1			224/01	153/01	"Folksong Setting: ""When eve’s last rays in twilight die""; #1 of 20 Irish songs"			1810	words: David Thomson					"WoO 153 #1, Grove 224"	
865	563/2			224/02	153/02	"Folksong Setting: ""No riches from his scanty store""; #2 of 20 Irish songs"			1810	words: Williams					"WoO 153 #2, Grove 224"	
866	563/3			224/03	153/03	"Folksong Setting: ""The British Light Dragoons, or The Plain of Badajos"", ""’Twas a Marechal of France""; #3 of 20 Irish songs"			1810	words: Sir Walter Scott					"WoO 153 #3, Grove 224"	
867	563/4			224/04	153/04	"Folksong Setting: ""Since greybeards inform us that youth will decay""; #4 of 20 Irish songs"			1810	words: T Toms					"WoO 153 #4, Grove 224"	
868	563/5			224/05	153/05	"Folksong Setting: ""I dream’d I lay where flow’rs were springing""; #5 of 20 Irish songs"			1813	words: Robert Burns; replacement setting for Hess 194					"WoO 153 #5, Grove 224"	
869	563/6														@@@	
870	563/7			224/07	153/07	"Folksong Setting: ""O soothe me, my lyre""; #7 of 20 Irish songs"			1813	words: William Smyth					"WoO 153 #7, Grove 224"	
871	563/8			224/08	153/08	"Folksong Setting: ""Norah of Balamagairy"", ""Farewell mirth and hilarity""; #8 of 20 Irish songs"			1812 - 1813	words: Alexander Boswell					"WoO 153 #8, Grove 224"	
872	563/9			224/09	153/09	"Folksong Setting: ""The kiss, dear maid, thy lip has left""; #9 of 20 Irish songs"			1813	words: Lord Byron					"WoO 153 #9, Grove 224"	
873	563/10			224/10	153/10	"Folksong Setting: ""Oh, thou hapless soldier""; #10 of 20 Irish songs"			1810	words: William Smyth					"WoO 153 #10, Grove 224"	
874	563/11			224/11	153/11	"Folksong Setting: ""When far from the home""; #11 of 20 Irish songs"			1813	words: David Thomson; Hess 195 is another setting					"WoO 153 #11, Grove 224"	
875	563/12			224/12	153/12	"Folksong Setting: ""I’ll praise the saints with early song""; #12 of 20 Irish songs"			1813	words: William Smyth; replacement setting for Hess 196					"WoO 153 #12, Grove 224"	
876	563/13															
